Holiday Name,Unemployment Category,Weekly_Sales
Christmas,Low: <6%,"$1,499,092.06"
Christmas,Normal: 6%-9%,"$1,284,700.80"
Christmas,High: >9%,"$1,033,731.32"
Independence Day,Low: <6%,"$1,286,983.19"
Independence Day,Normal: 6%-9%,"$1,117,226.10"
Independence Day,High: >9%,"$852,223.39"
New Year's Day,Low: <6%,"$910,936.19"
New Year's Day,Normal: 6%-9%,"$1,005,768.77"
New Year's Day,High: >9%,"$843,075.34"
No Holiday,Low: <6%,"$1,172,026.80"
No Holiday,Normal: 6%-9%,"$1,063,592.82"
No Holiday,High: >9%,"$843,433.66"
Thanksgiving Day,Low: <6%,"$1,906,120.34"
Thanksgiving Day,Normal: 6%-9%,"$1,513,380.59"
Thanksgiving Day,High: >9%,"$1,193,750.42"
